LR RMSE,LR R2,RF RMSE,RF R2,Strat LR RMSE,Strat LR R2,Strat RF RMSE,Strat RF R2
113.63247784467048,0.9144598993374831,72.00971523343223,0.9656483984128861,114.48685611760915,0.8926657170301834,57.013384632652986,0.973381667348925
122.42793490532276,0.89671561327001,109.70768075312306,0.9170631196622435,104.42718733859068,0.9302350940803072,72.22721288550689,0.9666257461874843
80.11469026092476,0.9410670207839624,50.77392377613729,0.9763290584058572,103.11220174724536,0.9305989137293172,71.43793350145518,0.9666877541065093
89.73079190883738,0.9403044858374094,55.57491266880978,0.9771010128270524,93.74353270340107,0.9297303497688059,61.76413548634028,0.9694959226011998
104.56752159556487,0.9159141213342525,61.314345490891284,0.9710896312785122,78.29276903216883,0.9317155447149766,57.69908330474874,0.9629134555756744
116.8922076022764,0.874209223436415,47.73564438803779,0.9790220398608422,81.0954221906019,0.9524068785996493,56.48994604905372,0.9769062834693252
96.74516158231421,0.9185897152735075,59.073573161990126,0.9696466069005955,93.3586341378129,0.9346708905326209,62.29598074308464,0.9709117352354336
89.02788936054957,0.9246338498772828,53.9485718010681,0.9723252261816452,106.56597992275549,0.9164427311426329,67.85278269993798,0.9661247587462645
112.95513349131728,0.9188204114384296,76.85665885988128,0.9624164412159105,100.40586635283094,0.9268513131657418,75.70950068449687,0.9584099806556504
94.27237329615228,0.9242171489314209,73.3609708250636,0.9541085057344502,90.68006357959587,0.9151565810712949,50.38343937369386,0.9738079102217236
104.58005003777645,0.9108625418406848,72.83907718480692,0.956759428529677,89.24850812464203,0.9261391138650032,50.5452836646351,0.9763095200253336
87.41558596341947,0.9043416352518261,69.32158742111532,0.9398435492575106,95.62653415085535,0.9353646697033886,45.82983505861658,0.9851539906556037
100.35570148954866,0.9304109362719671,60.057023140839654,0.9750779080142714,105.98522150392057,0.9250890094992299,74.43706051297634,0.963048391724861
120.49885406452175,0.8555575064228904,46.217044341977704,0.9787512454481584,91.72689741828243,0.9221923071278668,55.861439474199706,0.9711428541093986
74.19421033726692,0.9448234766406307,45.19096351986938,0.9795300161206772,86.7314058239422,0.9434559173627611,53.38943660331719,0.9785738043327102
